TEAM_ABBREVIATION,0,1,2,3,4,5,6,7,8
ATL,-0.02387593887593889,-0.051467698967698955,-0.07671421171421175,0.0235927035927036,0.05704628704628706,0.03883967883967884,-0.02356375106375106,0.00809819809819809,0.04804473304473304
BKN,-0.27002978502978503,0.1023784548784549,0.15405501905501903,-0.09948421948421948,0.13396936396936399,0.11576275576275577,0.053359325859325867,-0.23805564805564808,0.04804473304473304
BOS,0.12997021497021496,-0.008732656232656205,0.15405501905501903,-0.010595330595330577,-0.19936396936396933,-0.21757057757057754,-0.05775178525178524,0.16194435194435194,0.04804473304473304
CHA,-0.28669645169645175,0.1023784548784549,-0.012611647611647625,0.0171824471824472,-0.03269730269730267,0.11576275576275577,-0.11330734080734078,0.16194435194435194,0.04804473304473304
CHI,-0.05184796684796686,0.011469363969363988,0.06314592814592812,-0.0813024013024013,0.13396936396936399,-0.06605542605542605,0.053359325859325867,-0.01987382987382988,-0.04286435786435787
CLE,0.03906112406112405,0.1023784548784549,-0.02776316276316279,0.10051578051578053,-0.04784881784881784,-0.15696451696451694,-0.037549765049765045,0.07103526103526103,-0.04286435786435787
DAL,-0.03669645169645169,0.01904512154512157,-0.012611647611647625,0.0171824471824472,0.05063603063603066,0.11576275576275577,-0.11330734080734078,-0.004722314722314713,-0.035288600288600286
DEN,-0.12002978502978504,-0.0226215451215451,0.15405501905501903,0.10051578051578053,0.008969363969363986,-0.13423724423724423,0.053359325859325867,0.036944351944351944,-0.07695526695526696
DET,0.046636881636881636,-0.06428821178821176,-0.012611647611647625,0.0171824471824472,0.05063603063603066,0.03242942242942244,-0.029974007474007462,-0.08805564805564806,0.04804473304473304
GSW,0.03906112406112405,-0.07943972693972692,0.06314592814592812,0.009606689606689617,0.043060273060273074,-0.06605542605542605,-0.037549765049765045,-0.01987382987382988,0.04804473304473304
HOU,0.12997021497021496,-0.27262154512154513,0.029055019055019032,0.10051578051578053,-0.11603063603063601,-0.00923724423724423,0.053359325859325867,0.16194435194435194,-0.07695526695526696
IND,0.02997021497021496,0.0023784548784548942,-0.14594498094498096,0.0005157805157805229,0.03396936396936398,0.015762755762755765,0.053359325859325867,-0.03805564805564807,0.04804473304473304
LAC,0.12997021497021496,0.1023784548784549,-0.04594498094498098,0.0005157805157805229,-0.166030636030636,-0.08423724423724424,-0.04664067414067414,0.06194435194435194,0.04804473304473304
LAL,0.12997021497021496,0.1023784548784549,-0.11867225367225367,-0.0813024013024013,-0.13875790875790872,-0.06605542605542605,-0.037549765049765045,0.16194435194435194,0.04804473304473304
MEM,0.02997021497021496,-0.09762154512154511,-0.04594498094498098,-0.09948421948421948,0.03396936396936398,0.11576275576275577,0.053359325859325867,-0.03805564805564807,0.04804473304473304
MIA,0.046636881636881636,0.1023784548784549,-0.012611647611647625,0.0171824471824472,0.05063603063603066,-0.13423724423724423,0.053359325859325867,-0.08805564805564806,-0.035288600288600286
MIL,0.12997021497021496,-0.008732656232656205,-0.17927831427831428,-0.010595330595330577,0.02285825285825288,0.11576275576275577,0.053359325859325867,-0.060277870277870266,-0.06306637806637806
MIN,0.12997021497021496,-0.27262154512154513,0.029055019055019032,0.10051578051578053,0.008969363969363986,-0.00923724423724423,-0.07164067414067413,0.036944351944351944,0.04804473304473304
NOP,-0.08431549931549931,0.1023784548784549,0.011197876197876183,-0.11376993376993375,-0.008887778887778863,0.11576275576275577,-0.018069245569245558,0.019087209087209095,-0.023383838383838382
NYK,0.12997021497021496,-0.09762154512154511,-0.245944980944981,0.0005157805157805229,0.03396936396936398,0.11576275576275577,0.053359325859325867,0.06194435194435194,-0.05195526695526696
OKC,0.12997021497021496,0.01904512154512157,0.0707216857216857,0.10051578051578053,-0.03269730269730267,-0.46757057757057763,0.053359325859325867,0.16194435194435194,-0.035288600288600286
ORL,-0.07002978502978505,0.0023784548784548942,0.15405501905501903,-0.09948421948421948,-0.26603063603063604,0.11576275576275577,0.053359325859325867,0.06194435194435194,0.04804473304473304
PHI,-0.02387593887593889,0.025455377955377972,-0.15363728863728868,-0.053330373330373326,-0.01987678987678987,0.11576275576275577,-0.02356375106375106,0.08502127502127502,0.04804473304473304
PHX,-0.03669645169645169,0.1023784548784549,-0.09594498094498097,0.10051578051578053,-0.03269730269730267,0.03242942242942244,-0.19664067414067413,0.07861101861101862,0.04804473304473304
POR,0.02997021497021496,-0.09762154512154511,0.05405501905501903,0.0005157805157805229,0.13396936396936399,0.11576275576275577,0.053359325859325867,-0.23805564805564808,-0.05195526695526696
SAC,0.12997021497021496,-0.008732656232656205,0.15405501905501903,-0.010595330595330577,0.02285825285825288,-0.21757057757057754,0.053359325859325867,-0.060277870277870266,-0.06306637806637806
SAS,0.01885910385910386,0.1023784548784549,0.04294390794390793,-0.010595330595330577,0.02285825285825288,0.004651644651644665,0.053359325859325867,-0.17138898138898137,-0.06306637806637806
TOR,-0.12002978502978504,0.01904512154512157,-0.012611647611647625,-0.06615088615088613,0.05063603063603066,0.11576275576275577,0.053359325859325867,-0.004722314722314713,-0.035288600288600286
UTA,-0.15574407074407073,-0.04047868797868795,0.011197876197876183,0.029087209087209104,0.13396936396936399,0.11576275576275577,0.053359325859325867,-0.12376993376993375,-0.023383838383838382
WAS,-0.17002978502978502,0.1023784548784549,0.05405501905501903,0.0005157805157805229,0.03396936396936398,0.11576275576275577,-0.04664067414067414,-0.13805564805564804,0.04804473304473304
